,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
0,01/01/2017,27858.9,27477.3,27858872.08,27591730.13,267141.956,27858872.08,10230100.13,6864575.384,9047205.493,1716991.073,18043789.16,3514467.398,6705475.318,945906.3068,2880656.169,2606192.942,1050313.638,340777.3882,772371.8476,1838507.096,2806660.309
1,01/02/2017,25994.2,25223.4,25994200.17,25749179.4,245020.769,25994200.17,9719067.341,6438494.011,8309150.301,1527488.518,17656879.08,3344456.931,6576624.803,925618.6147,2855639.9,2600083.591,1026166.544,328288.6951,672290.5165,1257661.903,2354084.901
2,01/03/2017,27780.0,26334.3,27780006.52,27472228.72,307777.804,27780006.52,10244442.51,6908522.962,8845010.494,1782030.557,19186248.05,3290739.324,7437264.174,1016147.664,3188259.169,2824976.726,1075525.842,353335.1548,667696.6653,1305674.917,2266189.277
3,01/04/2017,29134.3,27045.9,29134272.22,28827479.49,306792.733,29134272.22,10312632.37,7454251.8,9458166.682,1909221.374,20257135.1,3253288.237,8211244.093,1132396.232,3257140.159,3006158.76,1037213.162,359694.4537,838948.2458,1535726.345,2146755.887
4,01/05/2017,27969.0,25631.9,27969004.68,27569311.41,399693.262,27969004.68,10147613.34,6735747.319,9220929.862,1864714.157,18904574.4,2869437.411,7651058.084,1033081.85,3232635.767,2799142.123,982651.1606,336568.0085,915895.1498,1824462.036,2117971.483
5,01/06/2017,29132.7,26365.4,29132712.74,28763865.42,368847.326,29132712.74,10565493.5,7337456.597,9196110.463,2033652.189,19601615.8,3103589.599,7911936.245,1083494.193,3322049.564,2883228.762,952203.315,345114.1199,1001572.002,1893542.062,2358093.345
6,01/07/2017,31182.3,27819.4,31182302.46,30815311.77,366990.683,31182302.46,10905912.74,8183012.318,10162899.88,1930477.521,20882660.95,3325398.656,8482567.662,1153102.214,3534096.704,3013143.968,994343.5775,380008.1679,1026743.496,1995091.144,2678008.532
10,01/11/2017,33629.0,28425.3,33628982.66,33122387.95,506594.7055,33628982.66,11657995.8,8324348.807,12553464.11,1093173.933,21967173.4,4297207.188,8282231.901,1138077.372,3641546.557,3032406.663,1206025.378,369678.3403,864815.7013,2729390.081,3079244.883
11,01/12/2017,40766.3,34084.5,40766322.1,40320285.28,446036.8247,40766322.1,13710305.37,11070098.74,14576008.24,1409909.758,26888567.26,6640857.416,9667850.147,1346130.813,3684165.032,3674954.1,1398334.689,476275.0587,1278355.018,2857322.674,4502834.048
12,01/01/2018,32479.2,26736.7,3208.00557,32103107.86,376100.1496,32479208.01,11705433.57,8391851.736,11256746.65,1125176.058,21415403.1,4222218.455,7836896.414,1122224.43,3431469.946,3091349.877,1318384.494,392859.4821,931581.0564,1999948.566,3142844.95
26,01/03/2019,51065.7,24647.7,51065694.25,50347782.68,717911.5715,51065694.25,17737278.5,13685678.1,17969551.88,1673185.771,35639253.95,5901419.921,13664374.99,1863315.832,5729158.058,6187148.574,1733045.157,560791.4093,1250658.574,2294642.27,4127581.777
27,01/04/2019,49621.4,23073.8,49621409.28,48939565.17,681844.104,49621409.28,17102015.74,13152280.51,17736333.21,1630779.815,35631833.0,5437459.685,14448162.66,1961842.26,5754857.498,5891682.427,1598053.884,539774.582,1179040.514,2005702.657,3457368.228
